Date,TATA POWER,GOLD,PETROL,CURRENCY
2016-01-15,61.75,17.700000762939453,77.58000183105469,67.30400085449219
2016-01-19,64.25,16.309999465942383,76.4000015258789,67.71099853515625
2016-01-20,61.75,16.559999465942383,73.18000030517578,67.76699829101562
2016-01-21,61.150001525878906,16.690000534057617,74.0999984741211,67.9489974975586
2016-01-22,61.75,16.68000030517578,76.56999969482422,67.80799865722656
2016-01-25,61.349998474121094,17.670000076293945,73.9800033569336,67.54100036621094
2016-01-27,61.29999923706055,19.440000534057617,75.29000091552734,67.7699966430664
2016-01-28,60.0,19.530000686645508,76.98999786376953,68.19599914550781
2016-01-29,60.099998474121094,19.959999084472656,77.8499984741211,68.09300231933594
2016-02-01,60.599998474121094,20.549999237060547,76.29000091552734,67.87000274658203
2016-02-02,58.75,20.06999969482422,74.58999633789062,67.88200378417969
2016-02-03,57.04999923706055,22.34000015258789,78.4800033569336,67.98600006103516
2016-02-04,59.04999923706055,23.3799991607666,79.83000183105469,67.927001953125
2016-02-05,60.25,24.40999984741211,80.08000183105469,67.56400299072266
2016-02-08,58.95000076293945,25.190000534057617,81.16000366210938,67.802001953125
2016-02-09,59.70000076293945,24.299999237060547,80.08000183105469,68.07599639892578
2016-02-10,59.20000076293945,24.309999465942383,79.3499984741211,67.9280014038086
2016-02-11,56.29999923706055,25.040000915527344,79.5999984741211,67.89299774169922
2016-02-12,56.70000076293945,25.780000686645508,81.02999877929688,68.4739990234375
2016-02-16,58.54999923706055,24.559999465942383,81.22000122070312,68.13700103759766
2016-02-17,58.70000076293945,24.84000015258789,82.0,68.50599670410156
2016-02-18,59.20000076293945,25.06999969482422,82.44999694824219,68.35600280761719
2016-02-19,58.79999923706055,24.84000015258789,82.5,68.56600189208984
2016-02-22,58.599998474121094,25.1200008392334,82.38999938964844,68.53800201416016
2016-02-23,58.0,25.389999389648438,81.2300033569336,68.5739974975586
2016-02-24,57.79999923706055,25.579999923706055,81.5199966430664,68.60299682617188
2016-02-25,57.04999923706055,25.850000381469727,82.01000213623047,68.3759994506836
2016-02-26,57.54999923706055,25.350000381469727,81.75,68.7969970703125
2016-02-29,57.29999923706055,25.829999923706055,80.1500015258789,68.7300033569336
2016-03-01,58.400001525878906,25.389999389648438,81.27999877929688,68.21800231933594
2016-03-02,58.900001525878906,26.239999771118164,82.69999694824219,67.74600219726562
2016-03-03,59.5,26.81999969482422,82.4000015258789,67.38800048828125
2016-03-04,59.25,26.110000610351562,82.29000091552734,67.14299774169922
2016-03-08,58.75,25.889999389648438,82.62999725341797,67.0459976196289
2016-03-09,58.650001525878906,26.139999389648438,82.4000015258789,67.35700225830078
2016-03-10,58.900001525878906,27.350000381469727,82.18000030517578,67.1449966430664
2016-03-11,59.0,26.68000030517578,82.19000244140625,67.30899810791016
2016-03-14,59.20000076293945,26.1299991607666,82.41000366210938,66.91300201416016
2016-03-15,58.75,26.3700008392334,82.81999969482422,67.17400360107422
2016-03-16,58.849998474121094,27.549999237060547,82.87000274658203,67.35900115966797
2016-03-17,58.45000076293945,27.459999084472656,84.0999984741211,66.83000183105469
2016-03-18,58.5,27.790000915527344,84.19999694824219,66.61199951171875
2016-03-21,59.150001525878906,27.790000915527344,83.62000274658203,66.3759994506836
2016-03-22,61.79999923706055,27.389999389648438,84.12000274658203,66.5199966430664
2016-03-23,62.650001525878906,24.979999542236328,83.75,66.76399993896484
2016-03-28,60.95000076293945,25.700000762939453,84.22000122070312,66.90699768066406
2016-03-29,61.400001525878906,26.950000762939453,84.52999877929688,66.90699768066406
2016-03-30,62.650001525878906,26.75,84.5199966430664,66.36799621582031
2016-03-31,64.6500015258789,26.579999923706055,83.58999633789062,66.36799621582031
2016-04-01,65.19999694824219,26.6200008392334,82.95999908447266,66.24800109863281
2016-04-04,68.30000305175781,26.299999237060547,83.16000366210938,66.35800170898438
2016-04-05,67.0,27.299999237060547,82.20999908447266,66.13300323486328
2016-04-06,66.5,27.739999771118164,83.30999755859375,66.46800231933594
2016-04-07,63.900001525878906,27.959999084472656,82.37000274658203,66.53299713134766
2016-04-08,65.80000305175781,29.100000381469727,83.20999908447266,66.77899932861328
2016-04-11,67.69999694824219,31.110000610351562,83.31999969482422,66.54399871826172
2016-04-12,67.8499984741211,30.6299991607666,84.3499984741211,66.29000091552734
2016-04-13,70.0,29.479999542236328,84.83000183105469,66.31500244140625
2016-04-18,69.5999984741211,29.459999084472656,85.77999877929688,66.65299987792969
2016-04-20,70.55000305175781,30.450000762939453,86.80000305175781,66.22200012207031
2016-04-21,69.69999694824219,32.189998626708984,86.79000091552734,66.2040023803711
2016-04-22,69.94999694824219,31.229999542236328,87.52999877929688,66.51200103759766
2016-04-25,69.55000305175781,31.110000610351562,87.33000183105469,66.65299987792969
2016-04-26,72.0,31.969999313354492,87.62999725341797,66.70500183105469
2016-04-27,70.75,32.099998474121094,88.45999908447266,66.45700073242188
2016-04-28,69.25,32.9900016784668,88.02999877929688,66.3550033569336
2016-04-29,70.5,34.970001220703125,88.4000015258789,66.43800354003906
2016-05-02,70.1500015258789,34.34000015258789,89.12999725341797,66.41799926757812
2016-05-03,71.0999984741211,33.83000183105469,88.11000061035156,66.37100219726562
2016-05-04,70.4000015258789,32.349998474121094,87.94000244140625,66.59200286865234
2016-05-05,70.30000305175781,32.86000061035156,88.04000091552734,66.62000274658203
2016-05-06,72.19999694824219,34.130001068115234,88.51000213623047,66.60199737548828
2016-05-09,73.44999694824219,31.829999923706055,88.56999969482422,66.59400177001953
2016-05-10,72.44999694824219,33.029998779296875,89.98999786376953,66.72100067138672
2016-05-11,71.0,33.880001068115234,88.80999755859375,66.66600036621094
2016-05-12,70.8499984741211,33.209999084472656,89.66999816894531,66.59100341796875
